5.50,8.75,11.25
O,MIA,61,26,8
S,NY,67,18,21
O,LA,60,6,30
S,LA,28,18,6
S,LA,57,42,26
O,NY,31,9,21
O,HOU,16,45,24
S,NY,24,30,4
O,MIA,72,44,29
S,CHI,64,23,31
S,LA,67,32,38
S,MIA,62,44,26
O,CHI,53,27,36
S,MIA,75,14,13
S,MIA,58,2,20
O,LA,97,30,1
O,LA,3,42,22
S,LA,71,12,26
S,HOU,53,37,33
S,NY,58,22,23
O,CHI,91,5,30
S,NY,49,45,37
S,CHI,36,10,26
O,MIA,61,5,16
O,CHI,58,8,40
S,HOU,36,25,6
O,HOU,28,45,30
O,LA,27,11,22
S,NY,84,12,7
O,LA,65,37,16
O,HOU,84,5,36
O,HOU,48,37,30
S,LA,49,7,31
O,CHI,6,41,1
O,NY,71,26,37
O,NY,58,18,12
O,CHI,80,31,31
S,LA,9,30,22
S,LA,100,33,14
S,CHI,60,28,21
S,HOU,68,8,25
O,MIA,53,28,32
O,CHI,6,27,9
S,CHI,97,23,9
S,CHI,10,13,8
O,CHI,27,23,2
S,CHI,11,9,14
S,HOU,54,18,22
S,MIA,26,34,28
S,MIA,61,20,27
O,LA,6,30,11
O,MIA,3,5,24
S,CHI,30,11,8
O,MIA,92,18,7
S,CHI,4,11,18
S,CHI,89,31,27
O,NY,71,37,17
S,CHI,73,14,37
O,HOU,74,13,39
O,LA,47,13,19
O,NY,59,45,3
S,CHI,55,24,14
O,HOU,9,43,20
O,NY,37,21,34
S,LA,78,43,2
O,LA,31,25,12
S,NY,49,19,8
S,LA,7,18,33
O,LA,15,30,38
S,HOU,32,6,6
S,MIA,59,17,21
O,LA,8,13,12
O,MIA,79,25,33
O,MIA,61,20,6
S,NY,60,26,39
O,NY,93,42,13
S,LA,54,33,37
O,HOU,63,5,38
O,NY,53,7,17
S,HOU,60,35,30
O,MIA,81,3,12
S,CHI,9,4,37
S,NY,53,1,25
S,CHI,32,29,23
O,HOU,46,17,36
S,NY,3,41,3
S,HOU,61,25,31
O,NY,21,40,23
S,MIA,61,31,11
O,NY,58,8,12
S,CHI,5,12,5
S,LA,11,36,36
S,LA,78,10,33
S,CHI,77,40,14
O,CHI,85,31,22
S,MIA,22,42,35
S,LA,60,17,27
O,CHI,49,20,17
O,LA,57,18,27
S,NY,24,41,30
O,HOU,90,27,10
O,LA,78,14,18
S,MIA,63,15,16
S,MIA,59,38,6
S,LA,61,5,16
S,NY,9,26,34
O,NY,27,38,14
S,LA,89,1,12
S,LA,23,40,30
S,LA,88,16,12
